. . 导出了 "ZYHBCS"."TMPUB_CALOG"                      2.393 MB    7515 行
. . 导出了 "ZYHBCS"."CMP_SETTLEMENT"                   2.595 MB    3869 行
. . 导出了 "ZYHBCS"."FA_CARD"                          2.577 MB    5698 行
. . 导出了 "ZYHBCS"."IA_I0BILL_B"                      2.674 MB    5040 行
. . 导出了 "ZYHBCS"."MD_ATTR_POWER"                    2.604 MB   22901 行
. . 导出了 "ZYHBCS"."WA_PSNTAX"                        2.625 MB    9144 行
. . 导出了 "ZYHBCS"."XX_XLOG"                          2.706 MB    7695 行
. . 导出了 "ZYHBCS"."BD_DEFDOC"                        2.405 MB   10753 行
. . 导出了 "ZYHBCS"."SM_RESP_FUNC"                     2.457 MB   16886 行
. . 导出了 "ZYHBCS"."TMPUB_CALOG_TEMP"                 1.972 MB    6219 行
. . 导出了 "ZYHBCS"."ARAP_BALANCE"                     2.288 MB   10345 行
. . 导出了 "ZYHBCS"."MD_BIZITFMAP"                     2.257 MB   14101 行
. . 导出了 "ZYHBCS"."TB_TASKSHTMODEL"                  1.900 MB    1488 行
. . 导出了 "ZYHBCS"."AR_RECITEM"                       1.908 MB    2738 行
. . 导出了 "ZYHBCS"."PUB_UFGRAPH"                      1.326 MB    1151 行
. . 导出了 "ZYHBCS"."SM_FLOWCHART_ICON"                1.793 MB      48 行
. . 导出了 "ZYHBCS"."SM_SUBJECT_ORG"                   2.002 MB   13575 行
. . 导出了 "ZYHBCS"."TB_MD_AREA"                       119.3 KB      54 行
. . 导出了 "ZYHBCS"."ARAP_TALLY_AGR"                   1.854 MB    6634 行
. . 导出了 "ZYHBCS"."ARAP_TALLY_ALL"                   1.791 MB    5386 行
. . 导出了 "ZYHBCS"."AR_RECBILL"                       1.784 MB    2604 行
. . 导出了 "ZYHBCS"."FIP_TEMPLATECELL"                 1.851 MB   15391 行
. . 导出了 "ZYHBCS"."GL_CASHFLOWCASE"                  1.747 MB    8400 行
. . 导出了 "ZYHBCS"."IC_INVCOUNT_B"                    1.880 MB    4374 行
. . 导出了 "ZYHBCS"."MD_ATTR_BUSILOG"                  1.737 MB   15071 行
. . 导出了 "ZYHBCS"."PO_ORDER_B"                       1.640 MB    1327 行
